donor_id,donor_name,donor_type,city,state,email,phone,acquisition_date,acquisition_channel,age_group,gender,occupation,wealth_score,engagement_score,is_major_donor,is_recurring,communication_preference,opted_out
D00461,Daniel Davis,Individual,Brisbane,QLD,donor461@email.com,0458881166,2021-11-17,Online,26-35,Prefer not to say,Government,55.9,46.1,0,0,Any,0
D00462,Oliver Ramos,Individual,Hobart,TAS,donor462@email.com,0441581408,2021-05-11,Social Media,56-65,Female,Retired,42.4,49.1,0,1,Mail,0
D00463,Mason Wright,Individual,Fremantle,WA,donor463@email.com,0419868991,2022-06-09,Telephone,26-35,Male,Healthcare,63.0,100.0,0,0,Any,0
D00464,Levi Thomas,Individual,Canberra,ACT,donor464@email.com,0437140286,2020-07-17,Corporate,46-55,Non-binary,Retired,13.2,1.0,0,0,Email,0
D00465,Mason Peterson,Individual,Geelong,VIC,donor465@email.com,0431043745,2020-12-17,Online,46-55,Prefer not to say,Finance,53.1,70.5,0,1,Phone,0
D00466,Lincoln Mitchell,Individual,Gold Coast,QLD,donor466@email.com,0443263373,2022-01-17,Direct Mail,26-35,Prefer not to say,Government,13.5,72.2,0,0,Phone,0
D00467,Newcastle City Council,Government,Newcastle,NSW,donor467@email.com,0473169926,2021-03-03,Email,N/A,N/A,N/A,55.7,49.1,0,1,Email,0
D00468,Lucas Nelson,Individual,Mount Gambier,SA,donor468@email.com,0439260335,2020-01-13,Recurring,46-55,Female,Business Owner,42.9,26.1,0,0,Mail,0
D00469,Victoria Anderson,Individual,Ballarat,VIC,donor469@email.com,0428605786,2020-01-25,Telephone,65+,Prefer not to say,Other,72.1,45.9,0,1,Any,0
D00470,Liam Bailey,Individual,Adelaide,SA,donor470@email.com,0446210517,2020-12-06,Email,65+,Male,Finance,33.5,46.0,0,1,Phone,0
D00471,Owen Murphy,Individual,Ballarat,VIC,donor471@email.com,0459181804,2021-01-09,Online,18-25,Non-binary,Professional,44.4,51.6,0,0,Email,0
D00472,Owen Martin,Individual,Brisbane,QLD,donor472@email.com,0438158070,2022-02-09,Telephone,56-65,Male,Government,5.7,19.5,0,1,Phone,0
D00473,Grayson Young,Individual,Cairns,QLD,donor473@email.com,0473104323,2021-05-12,Direct Mail,18-25,Male,Technology,12.4,49.6,0,1,Mail,0
D00474,Stewart Pty Ltd,Corporate,Adelaide,SA,donor474@email.com,0433999716,2022-06-24,Online,N/A,N/A,N/A,42.1,52.7,0,0,Email,0
D00475,Jacob Mitchell,Individual,Cairns,QLD,donor475@email.com,0482670169,2020-01-24,Email,26-35,Female,Arts,35.8,100.0,0,1,Any,0
D00476,Johnson Holdings,Corporate,Hobart,TAS,donor476@email.com,0479742280,2020-01-23,Online,N/A,N/A,N/A,60.1,36.9,0,0,Any,0
D00477,Natalie Cooper,Individual,Fremantle,WA,donor477@email.com,0444897610,2020-05-15,Direct Mail,56-65,Prefer not to say,Government,63.7,37.2,0,0,Mail,1
D00478,Samuel Baker,Individual,Geelong,VIC,donor478@email.com,0499436783,2020-06-28,Direct Mail,26-35,Female,Arts,66.4,17.5,0,1,Phone,0
D00479,Logan Nelson Estate,Bequest,Geelong,VIC,donor479@email.com,0499329049,2020-07-07,Direct Mail,N/A,N/A,N/A,58.7,87.6,0,0,Mail,0
D00480,Michael Gomez,Individual,Hobart,TAS,donor480@email.com,0452978923,2021-05-26,Event,36-45,Male,Professional,55.6,1.0,0,0,Mail,0
D00481,Chloe Cook,Individual,Perth,WA,donor481@email.com,0474287772,2021-03-28,Telephone,56-65,Female,Other,44.8,60.4,0,1,Phone,0
D00482,Lily Parker,Individual,Sydney,NSW,donor482@email.com,0480656754,2020-02-26,Online,26-35,Prefer not to say,Technology,39.7,39.6,0,0,Mail,0
D00483,Lillian Reyes,Individual,Ballarat,VIC,donor483@email.com,0417522583,2021-05-17,Event,65+,Male,Arts,38.7,81.0,0,1,Mail,0
D00484,Zoey Smith,Individual,Canberra,ACT,donor484@email.com,0469622247,2021-04-01,Direct Mail,36-45,Non-binary,Technology,56.0,42.4,0,1,Any,0
D00485,Grayson Morales,Individual,Perth,WA,donor485@email.com,0480504712,2020-05-27,Recurring,46-55,Female,Other,55.9,77.4,0,1,Email,1
D00486,Isaac Cruz,Individual,Mount Gambier,SA,donor486@email.com,0436743897,2021-12-28,Recurring,36-45,Prefer not to say,Retired,9.6,27.0,0,0,Any,0
D00487,David Cooper,Individual,Darwin,NT,donor487@email.com,0430672747,2021-04-19,Recurring,56-65,Non-binary,Government,55.6,93.7,0,0,Any,0
D00488,Joshua Howard,Individual,Perth,WA,donor488@email.com,0490381832,2020-10-10,Online,65+,Female,Professional,1.0,52.9,0,1,Any,0
D00489,Christopher Stewart,Individual,Cairns,QLD,donor489@email.com,0417853132,2020-01-18,Telephone,18-25,Non-binary,Arts,56.7,37.7,0,0,Any,0
D00490,Oliver Young,Individual,Newcastle,NSW,donor490@email.com,0478969993,2020-10-25,Online,36-45,Prefer not to say,Technology,3.9,39.1,0,0,Phone,0
D00491,Joseph Morgan,Individual,Wollongong,NSW,donor491@email.com,0457194894,2021-12-05,Recurring,65+,Non-binary,Education,33.9,73.5,0,1,Email,0
D00492,Joshua Green,Individual,Perth,WA,donor492@email.com,0484981433,2021-05-30,Online,36-45,Female,Business Owner,52.3,65.9,0,0,Email,0
D00493,Logan Ramos,Individual,Ballarat,VIC,donor493@email.com,0490215042,2021-01-06,Direct Mail,18-25,Prefer not to say,Technology,63.9,70.7,0,0,Mail,0
D00494,Amelia Harris,Individual,Perth,WA,donor494@email.com,0424995099,2020-08-02,Direct Mail,26-35,Female,Healthcare,55.5,57.4,0,0,Any,0
D00495,James Gutierrez,Individual,Geelong,VIC,donor495@email.com,0411378737,2020-09-16,Online,65+,Male,Government,66.3,55.7,0,1,Email,1
D00496,Elizabeth Thomas,Individual,Brisbane,QLD,donor496@email.com,0487812909,2022-05-16,Online,65+,Non-binary,Professional,49.6,29.9,0,0,Phone,0
D00497,William Miller,Individual,Gold Coast,QLD,donor497@email.com,0482091897,2020-07-15,Online,56-65,Male,Arts,62.0,46.6,0,0,Email,1
D00498,Emily Nelson,Individual,Darwin,NT,donor498@email.com,0464704189,2021-01-23,Social Media,65+,Male,Retired,28.6,63.8,0,0,Mail,0
D00499,Ellie Cook,Individual,Sydney,NSW,donor499@email.com,0448065683,2020-03-25,Telephone,36-45,Non-binary,Arts,45.3,60.9,0,0,Mail,0
D00500,Isaac Allen,Individual,Hobart,TAS,donor500@email.com,0434064874,2022-04-01,Email,46-55,Female,Business Owner,20.2,55.7,0,0,Any,0
D00501,Ethan Davis,Individual,Mount Gambier,SA,donor501@email.com,0432645646,2020-04-14,Recurring,26-35,Prefer not to say,Finance,47.7,1.0,0,0,Phone,0
D00502,Grayson Morales,Individual,Mount Gambier,SA,donor502@email.com,0463718703,2022-02-13,Recurring,46-55,Non-binary,Other,57.1,15.2,0,0,Any,1
D00503,Levi Miller,Individual,Cairns,QLD,donor503@email.com,0417093731,2021-10-05,Corporate,18-25,Non-binary,Government,54.6,47.8,0,1,Any,0
D00504,Penelope Taylor,Individual,Wollongong,NSW,donor504@email.com,0437102821,2021-06-16,Recurring,36-45,Male,Business Owner,53.9,5.9,0,0,Any,0
D00505,Zoe Gomez,Individual,Cairns,QLD,donor505@email.com,0460511038,2020-05-01,Email,18-25,Male,Finance,37.1,64.5,0,0,Email,0
D00506,Perth City Council,Government,Perth,WA,donor506@email.com,0475425092,2021-03-17,Online,N/A,N/A,N/A,71.1,79.7,0,1,Any,0
D00507,Michael Carter,Individual,Darwin,NT,donor507@email.com,0448176560,2021-01-21,Corporate,18-25,Prefer not to say,Education,36.2,34.4,0,0,Email,0
D00508,Torres Foundation,Foundation,Newcastle,NSW,donor508@email.com,0455802675,2021-08-20,Social Media,N/A,N/A,N/A,91.5,58.9,1,0,Any,0
D00509,Ava Collins,Individual,Adelaide,SA,donor509@email.com,0450924657,2021-08-29,Recurring,26-35,Female,Healthcare,76.3,69.4,0,0,Phone,0
D00510,Grayson Evans,Individual,Fremantle,WA,donor510@email.com,0460699081,2021-04-25,Online,56-65,Prefer not to say,Education,1.0,11.7,0,0,Mail,0
D00511,Henry Scott,Individual,Darwin,NT,donor511@email.com,0495287876,2021-01-07,Recurring,46-55,Non-binary,Retired,63.2,46.8,0,1,Email,0
D00512,Oliver King,Individual,Brisbane,QLD,donor512@email.com,0489438729,2020-04-04,Recurring,56-65,Prefer not to say,Healthcare,44.7,17.8,0,0,Email,0
D00513,Dylan Gutierrez,Individual,Darwin,NT,donor513@email.com,0465608317,2021-03-19,Social Media,18-25,Non-binary,Arts,41.0,31.4,0,0,Any,0
D00514,Wollongong City Council,Government,Wollongong,NSW,donor514@email.com,0438582041,2021-06-12,Recurring,N/A,N/A,N/A,67.1,25.1,0,1,Any,0
D00515,Ava Roberts Estate,Bequest,Canberra,ACT,donor515@email.com,0450302318,2021-04-18,Online,N/A,N/A,N/A,56.8,61.4,0,1,Any,0
D00516,Isaac Young,Individual,Ballarat,VIC,donor516@email.com,0435758531,2020-08-29,Recurring,36-45,Female,Education,41.8,56.8,0,0,Mail,0
D00517,James Jackson,Individual,Canberra,ACT,donor517@email.com,0433620336,2022-03-19,Online,26-35,Non-binary,Retired,59.7,15.4,0,0,Email,1
D00518,Brown Pty Ltd,Corporate,Darwin,NT,donor518@email.com,0464627534,2020-11-01,Direct Mail,N/A,N/A,N/A,78.9,10.2,0,1,Email,0
D00519,Andrew Ramos,Individual,Newcastle,NSW,donor519@email.com,0452065222,2020-08-31,Email,18-25,Non-binary,Government,22.1,24.7,0,0,Any,0
D00520,Sofia Taylor Estate,Bequest,Gold Coast,QLD,donor520@email.com,0444132362,2020-08-07,Online,N/A,N/A,N/A,71.1,44.9,0,1,Email,0
D00521,Davis Holdings,Corporate,Adelaide,SA,donor521@email.com,0429449696,2021-05-01,Recurring,N/A,N/A,N/A,28.9,1.0,0,0,Mail,0
D00522,James Cooper,Individual,Melbourne,VIC,donor522@email.com,0458701586,2021-01-28,Direct Mail,65+,Male,Healthcare,31.6,100.0,0,1,Email,0
D00523,Hill Foundation,Foundation,Gold Coast,QLD,donor523@email.com,0450384524,2021-02-06,Online,N/A,N/A,N/A,90.2,25.4,1,0,Phone,0
D00524,Wollongong City Council,Government,Wollongong,NSW,donor524@email.com,0414547522,2022-06-19,Recurring,N/A,N/A,N/A,61.0,16.8,0,0,Email,0
D00525,Isaac Ramos,Individual,Darwin,NT,donor525@email.com,0466488286,2021-12-16,Social Media,36-45,Prefer not to say,Business Owner,49.5,59.2,0,0,Mail,0
D00526,Edwards Enterprises,Corporate,Melbourne,VIC,donor526@email.com,0463775923,2021-03-30,Online,N/A,N/A,N/A,52.8,36.9,0,0,Mail,0
D00527,Ella Roberts,Individual,Ballarat,VIC,donor527@email.com,0427919382,2022-03-22,Recurring,65+,Female,Other,70.4,39.8,0,0,Mail,0
D00528,Zoey Thomas,Individual,Brisbane,QLD,donor528@email.com,0494104500,2020-01-24,Online,46-55,Prefer not to say,Other,75.6,33.2,0,0,Email,1
D00529,Abigail Brown,Individual,Brisbane,QLD,donor529@email.com,0486134053,2020-04-01,Direct Mail,46-55,Prefer not to say,Other,61.8,46.0,0,0,Any,0
D00530,Mitchell Foundation,Foundation,Hobart,TAS,donor530@email.com,0445729141,2021-12-31,Online,N/A,N/A,N/A,64.0,100.0,0,0,Any,0
D00531,Diaz Foundation,Foundation,Canberra,ACT,donor531@email.com,0466147435,2022-04-23,Online,N/A,N/A,N/A,43.8,86.8,0,0,Phone,0
D00532,Lillian Howard,Individual,Cairns,QLD,donor532@email.com,0453385340,2021-04-14,Recurring,26-35,Non-binary,Other,69.3,64.4,0,1,Any,0
D00533,Murphy Solutions,Corporate,Mount Gambier,SA,donor533@email.com,0441519884,2020-04-07,Direct Mail,N/A,N/A,N/A,43.9,47.1,0,0,Mail,1
D00534,Andrew Parker,Individual,Geelong,VIC,donor534@email.com,0487911634,2020-05-15,Recurring,46-55,Non-binary,Finance,75.1,43.6,0,0,Phone,0
D00535,Wilson Foundation,Foundation,Fremantle,WA,donor535@email.com,0425682275,2021-12-28,Online,N/A,N/A,N/A,39.1,47.4,0,0,Phone,0
D00536,Ramos Services,Corporate,Cairns,QLD,donor536@email.com,0445400991,2022-06-16,Direct Mail,N/A,N/A,N/A,46.9,96.9,0,0,Any,0
D00537,Mitchell Group,Corporate,Fremantle,WA,donor537@email.com,0435356407,2021-11-04,Recurring,N/A,N/A,N/A,35.9,29.6,0,0,Phone,0
D00538,Addison Adams,Individual,Darwin,NT,donor538@email.com,0425098270,2021-12-27,Corporate,18-25,Prefer not to say,Professional,29.5,39.7,0,1,Phone,0
D00539,Samuel Thomas,Individual,Ballarat,VIC,donor539@email.com,0410553745,2021-08-22,Email,26-35,Non-binary,Other,66.5,100.0,0,0,Phone,0
D00540,Ellie Reyes,Individual,Ballarat,VIC,donor540@email.com,0424236463,2021-11-27,Direct Mail,18-25,Non-binary,Professional,63.9,66.8,0,1,Phone,0
D00541,Collins Foundation,Foundation,Hobart,TAS,donor541@email.com,0410779182,2021-10-05,Corporate,N/A,N/A,N/A,75.8,40.7,0,0,Email,0
D00542,Logan White,Individual,Hobart,TAS,donor542@email.com,0461189424,2022-01-31,Social Media,18-25,Non-binary,Technology,94.5,76.5,1,0,Mail,0
D00543,Henry Anderson,Individual,Mount Gambier,SA,donor543@email.com,0468030164,2021-10-31,Recurring,46-55,Prefer not to say,Education,59.5,67.3,0,1,Mail,0
D00544,Lucas Cooper,Individual,Newcastle,NSW,donor544@email.com,0466783572,2021-02-01,Corporate,36-45,Female,Government,24.5,54.7,0,0,Any,0
D00545,Grayson Garcia,Individual,Wollongong,NSW,donor545@email.com,0476481027,2021-10-25,Recurring,18-25,Non-binary,Government,45.5,36.6,0,0,Email,0
D00546,Aubrey King,Individual,Canberra,ACT,donor546@email.com,0483953207,2021-06-19,Social Media,26-35,Female,Education,26.7,64.2,0,0,Email,0
D00547,Addison Collins,Individual,Canberra,ACT,donor547@email.com,0498795539,2020-03-24,Direct Mail,65+,Non-binary,Technology,50.4,45.5,0,0,Phone,0
D00548,David Wright,Individual,Geelong,VIC,donor548@email.com,0435124449,2020-09-28,Recurring,56-65,Prefer not to say,Government,25.7,97.0,0,0,Email,0
D00549,Miller Foundation,Foundation,Cairns,QLD,donor549@email.com,0433049928,2020-01-19,Corporate,N/A,N/A,N/A,60.0,50.5,0,1,Any,0
D00550,Luke Stewart,Individual,Darwin,NT,donor550@email.com,0412132081,2020-05-18,Online,65+,Prefer not to say,Education,59.7,51.1,0,1,Phone,0
D00551,Jacob Edwards,Individual,Brisbane,QLD,donor551@email.com,0466623671,2020-11-04,Online,26-35,Prefer not to say,Arts,51.4,36.0,0,0,Phone,0
D00552,Christopher Johnson Estate,Bequest,Hobart,TAS,donor552@email.com,0462577566,2021-08-22,Social Media,N/A,N/A,N/A,50.8,70.9,0,0,Email,0
D00553,Ellie Murphy Estate,Bequest,Canberra,ACT,donor553@email.com,0475430674,2022-01-18,Recurring,N/A,N/A,N/A,34.4,43.1,0,0,Any,0
D00554,Grayson Evans,Individual,Geelong,VIC,donor554@email.com,0493576934,2021-03-03,Email,36-45,Male,Education,57.7,42.0,0,1,Mail,0
D00555,Samuel Morales,Individual,Canberra,ACT,donor555@email.com,0455520344,2021-06-03,Corporate,26-35,Prefer not to say,Technology,58.3,100.0,0,1,Any,0
D00556,Hill Services,Corporate,Perth,WA,donor556@email.com,0473394367,2021-11-20,Social Media,N/A,N/A,N/A,39.1,30.7,0,1,Phone,0
D00557,Garcia Enterprises,Corporate,Perth,WA,donor557@email.com,0423543068,2020-06-26,Corporate,N/A,N/A,N/A,58.5,82.4,0,1,Any,0
D00558,Noah Torres,Individual,Brisbane,QLD,donor558@email.com,0418545050,2022-05-30,Online,36-45,Non-binary,Retired,54.0,46.1,0,0,Email,0
D00559,Joshua Thompson,Individual,Sydney,NSW,donor559@email.com,0479174131,2021-07-24,Social Media,36-45,Non-binary,Professional,48.7,64.2,0,0,Email,0
D00560,Cooper Pty Ltd,Corporate,Hobart,TAS,donor560@email.com,0423672496,2022-03-11,Peer-to-Peer,N/A,N/A,N/A,23.2,22.1,0,1,Email,0
D00561,Henry Howard,Individual,Wollongong,NSW,donor561@email.com,0423327047,2022-02-19,Recurring,36-45,Female,Education,17.5,48.5,0,0,Mail,0
D00562,Elizabeth Nelson,Individual,Newcastle,NSW,donor562@email.com,0421439895,2021-04-30,Social Media,46-55,Male,Healthcare,37.1,74.9,0,0,Any,0
D00563,Natalie Green,Individual,Gold Coast,QLD,donor563@email.com,0479277190,2021-02-23,Event,26-35,Female,Finance,89.5,13.2,1,1,Mail,1
D00564,Olivia Morris,Individual,Hobart,TAS,donor564@email.com,0418250139,2021-02-15,Direct Mail,56-65,Male,Business Owner,61.9,48.3,0,0,Email,0
D00565,Newcastle City Council,Government,Newcastle,NSW,donor565@email.com,0479763470,2021-10-08,Online,N/A,N/A,N/A,85.5,44.4,1,1,Any,0
D00566,Wright Holdings,Corporate,Perth,WA,donor566@email.com,0429711458,2020-10-13,Online,N/A,N/A,N/A,72.2,29.9,0,1,Any,0
D00567,Reed Enterprises,Corporate,Hobart,TAS,donor567@email.com,0482133102,2020-07-21,Event,N/A,N/A,N/A,56.2,42.9,0,0,Phone,0
D00568,Stella Phillips,Individual,Perth,WA,donor568@email.com,0442392076,2022-06-30,Online,36-45,Non-binary,Retired,57.7,17.9,0,1,Mail,0
D00569,Cooper Holdings,Corporate,Sydney,NSW,donor569@email.com,0497370696,2021-06-03,Direct Mail,N/A,N/A,N/A,46.2,56.2,0,1,Any,0
D00570,Sebastian Ortiz,Individual,Melbourne,VIC,donor570@email.com,0428786655,2021-11-13,Direct Mail,65+,Female,Technology,56.9,11.3,0,1,Phone,0
D00571,Nguyen Foundation,Foundation,Brisbane,QLD,donor571@email.com,0420998762,2020-05-30,Corporate,N/A,N/A,N/A,41.0,4.4,0,0,Any,0
D00572,Isabella Nguyen,Individual,Darwin,NT,donor572@email.com,0476951467,2022-03-08,Recurring,65+,Prefer not to say,Other,37.6,62.0,0,0,Any,0
D00573,Green Group,Corporate,Darwin,NT,donor573@email.com,0478878589,2020-05-10,Online,N/A,N/A,N/A,28.0,52.6,0,1,Email,0
D00574,Michael Phillips,Individual,Hobart,TAS,donor574@email.com,0415406577,2020-04-22,Social Media,36-45,Male,Other,68.9,72.4,0,0,Email,0
D00575,Joshua Johnson,Individual,Adelaide,SA,donor575@email.com,0475604774,2020-11-08,Event,26-35,Female,Other,60.7,38.8,0,0,Mail,0
D00576,Victoria Evans,Individual,Geelong,VIC,donor576@email.com,0428592146,2022-01-07,Corporate,46-55,Non-binary,Finance,55.4,38.5,0,0,Any,0
D00577,Penelope Garcia,Individual,Hobart,TAS,donor577@email.com,0499985448,2021-02-08,Online,56-65,Prefer not to say,Finance,46.8,56.5,0,1,Mail,0
D00578,Evans Enterprises,Corporate,Wollongong,NSW,donor578@email.com,0496424699,2021-12-25,Social Media,N/A,N/A,N/A,39.6,83.6,0,0,Phone,1
D00579,Lincoln Jackson Estate,Bequest,Geelong,VIC,donor579@email.com,0481384965,2021-05-29,Telephone,N/A,N/A,N/A,58.1,42.4,0,0,Email,0
D00580,Julian Garcia,Individual,Brisbane,QLD,donor580@email.com,0468655485,2021-05-18,Recurring,56-65,Non-binary,Finance,52.8,45.9,0,0,Email,0
D00581,Mia Davis,Individual,Fremantle,WA,donor581@email.com,0464663717,2020-09-18,Online,18-25,Female,Education,51.3,35.6,0,1,Email,0
D00582,Ava King,Individual,Fremantle,WA,donor582@email.com,0426235817,2020-11-27,Online,46-55,Male,Technology,47.6,100.0,0,0,Phone,0
D00583,Andrew Hill,Individual,Gold Coast,QLD,donor583@email.com,0464692890,2021-07-20,Direct Mail,18-25,Non-binary,Professional,30.8,65.9,0,0,Email,0
D00584,Logan King,Individual,Sydney,NSW,donor584@email.com,0429108179,2021-10-13,Online,56-65,Prefer not to say,Government,15.0,49.9,0,0,Phone,0
D00585,Lillian Williams Estate,Bequest,Canberra,ACT,donor585@email.com,0497652074,2021-04-20,Online,N/A,N/A,N/A,77.0,41.6,0,1,Email,0
D00586,Aiden Cooper,Individual,Darwin,NT,donor586@email.com,0416104857,2020-08-05,Social Media,65+,Prefer not to say,Technology,29.4,34.8,0,0,Email,0
D00587,Cooper Group,Corporate,Mount Gambier,SA,donor587@email.com,0477755826,2020-10-13,Telephone,N/A,N/A,N/A,59.9,38.1,0,1,Mail,0
D00588,Lillian Young,Individual,Fremantle,WA,donor588@email.com,0427948365,2021-09-05,Online,26-35,Non-binary,Technology,29.0,98.8,0,0,Email,0
D00589,Melbourne City Council,Government,Melbourne,VIC,donor589@email.com,0475629343,2021-02-27,Recurring,N/A,N/A,N/A,21.0,36.7,0,1,Email,0
D00590,Julian Reyes,Individual,Ballarat,VIC,donor590@email.com,0411131640,2021-01-01,Social Media,18-25,Non-binary,Finance,21.0,81.2,0,0,Mail,1
D00591,Noah Cook,Individual,Hobart,TAS,donor591@email.com,0439681939,2021-09-20,Online,36-45,Non-binary,Healthcare,24.3,17.8,0,0,Any,1
D00592,Henry Smith,Individual,Geelong,VIC,donor592@email.com,0436007403,2021-08-05,Email,26-35,Prefer not to say,Business Owner,37.8,50.0,0,1,Phone,0
D00593,Wilson Holdings,Corporate,Newcastle,NSW,donor593@email.com,0446819677,2022-05-26,Email,N/A,N/A,N/A,53.4,80.1,0,0,Email,1
D00594,Reed Services,Corporate,Cairns,QLD,donor594@email.com,0416960906,2021-03-13,Online,N/A,N/A,N/A,19.7,3.7,0,1,Mail,0
D00595,Lincoln Baker,Individual,Canberra,ACT,donor595@email.com,0466379776,2022-06-24,Telephone,46-55,Non-binary,Arts,48.9,42.4,0,0,Mail,0
D00596,Emma Murphy,Individual,Brisbane,QLD,donor596@email.com,0494019584,2020-07-20,Email,26-35,Prefer not to say,Business Owner,58.8,68.5,0,0,Email,0
D00597,Owen Cooper,Individual,Melbourne,VIC,donor597@email.com,0479749603,2020-12-14,Corporate,36-45,Female,Business Owner,68.4,9.7,0,1,Email,0
D00598,Cruz Services,Corporate,Hobart,TAS,donor598@email.com,0460653117,2020-03-28,Recurring,N/A,N/A,N/A,94.0,41.1,1,0,Email,0
D00599,Geelong City Council,Government,Geelong,VIC,donor599@email.com,0423667066,2020-11-04,Corporate,N/A,N/A,N/A,33.7,33.0,0,1,Email,0
D00600,Isaac Harris,Individual,Mount Gambier,SA,donor600@email.com,0423593293,2022-03-25,Event,56-65,Male,Government,25.0,65.2,0,0,Email,0
D00601,Charlotte Miller,Individual,Fremantle,WA,donor601@email.com,0478303134,2020-07-17,Social Media,18-25,Male,Other,58.6,42.7,0,0,Any,0
D00602,Harper Ortiz,Individual,Hobart,TAS,donor602@email.com,0458015538,2021-03-22,Direct Mail,18-25,Male,Retired,21.1,47.0,0,0,Phone,0
D00603,Chloe Nguyen,Individual,Perth,WA,donor603@email.com,0466648087,2022-04-18,Online,18-25,Female,Professional,70.2,7.5,0,0,Phone,0
D00604,Scott Group,Corporate,Brisbane,QLD,donor604@email.com,0454445587,2021-12-12,Recurring,N/A,N/A,N/A,42.0,23.8,0,1,Mail,0
D00605,Charlotte Baker,Individual,Canberra,ACT,donor605@email.com,0493741127,2021-10-16,Email,18-25,Prefer not to say,Healthcare,52.4,67.8,0,0,Any,0
D00606,Hill Foundation,Foundation,Fremantle,WA,donor606@email.com,0411327694,2020-07-07,Online,N/A,N/A,N/A,51.1,47.4,0,0,Email,0
D00607,Daniel Cruz,Individual,Newcastle,NSW,donor607@email.com,0445164890,2020-07-22,Peer-to-Peer,56-65,Non-binary,Professional,54.0,64.6,0,1,Mail,0
D00608,Noah Thomas,Individual,Gold Coast,QLD,donor608@email.com,0424894008,2020-05-20,Social Media,36-45,Male,Professional,24.5,80.3,0,0,Phone,0
D00609,Zoey Collins,Individual,Gold Coast,QLD,donor609@email.com,0435727027,2022-06-22,Online,26-35,Prefer not to say,Business Owner,81.6,29.6,1,0,Mail,0
D00610,Ella Howard Estate,Bequest,Canberra,ACT,donor610@email.com,0449484539,2021-09-22,Online,N/A,N/A,N/A,16.5,24.4,0,1,Mail,0
D00611,Peterson Foundation,Foundation,Cairns,QLD,donor611@email.com,0420926356,2021-08-21,Corporate,N/A,N/A,N/A,60.3,38.7,0,1,Email,0
D00612,Edwards Solutions,Corporate,Mount Gambier,SA,donor612@email.com,0460181152,2021-06-15,Event,N/A,N/A,N/A,32.8,54.9,0,0,Any,0
D00613,Lily Cruz,Individual,Darwin,NT,donor613@email.com,0439339153,2020-07-26,Online,56-65,Male,Healthcare,36.0,55.4,0,0,Any,0
D00614,Ethan Wilson,Individual,Adelaide,SA,donor614@email.com,0493366096,2020-08-23,Recurring,18-25,Non-binary,Government,30.7,35.9,0,0,Any,0
D00615,Ellie Wright,Individual,Canberra,ACT,donor615@email.com,0421062025,2020-08-27,Online,36-45,Prefer not to say,Professional,49.2,59.9,0,0,Email,0
D00616,Isabella Nguyen,Individual,Gold Coast,QLD,donor616@email.com,0446838009,2020-12-03,Online,18-25,Female,Technology,50.0,91.3,0,0,Phone,1
D00617,David Allen,Individual,Cairns,QLD,donor617@email.com,0478806311,2022-02-14,Social Media,36-45,Prefer not to say,Finance,37.3,26.6,0,1,Phone,0
D00618,Henry Rivera,Individual,Gold Coast,QLD,donor618@email.com,0466061116,2020-03-28,Direct Mail,26-35,Prefer not to say,Government,45.0,64.9,0,0,Any,0
D00619,Logan King,Individual,Melbourne,VIC,donor619@email.com,0467139083,2022-05-04,Social Media,65+,Male,Government,41.3,64.1,0,1,Any,0
D00620,Noah Evans,Individual,Perth,WA,donor620@email.com,0491582537,2020-12-04,Peer-to-Peer,18-25,Female,Retired,17.4,31.4,0,0,Any,1
D00621,William Gomez Estate,Bequest,Brisbane,QLD,donor621@email.com,0470604045,2021-05-01,Event,N/A,N/A,N/A,70.1,70.5,0,0,Mail,0
D00622,Thomas Pty Ltd,Corporate,Sydney,NSW,donor622@email.com,0419326928,2021-09-09,Social Media,N/A,N/A,N/A,37.2,51.1,0,1,Any,0
D00623,Natalie Jones,Individual,Gold Coast,QLD,donor623@email.com,0462493261,2020-06-24,Recurring,46-55,Male,Technology,29.6,98.6,0,0,Email,0
D00624,William Hill,Individual,Canberra,ACT,donor624@email.com,0491028510,2022-04-17,Direct Mail,26-35,Female,Healthcare,44.3,22.5,0,0,Mail,0
D00625,Liam Taylor,Individual,Hobart,TAS,donor625@email.com,0475895351,2020-09-09,Recurring,46-55,Male,Finance,6.7,41.1,0,0,Email,0
D00626,Levi Torres,Individual,Perth,WA,donor626@email.com,0434102565,2022-04-09,Recurring,65+,Non-binary,Finance,62.2,29.0,0,1,Any,0
D00627,Miller Services,Corporate,Wollongong,NSW,donor627@email.com,0446745629,2020-02-14,Recurring,N/A,N/A,N/A,52.6,100.0,0,1,Mail,0
D00628,Morales Group,Corporate,Ballarat,VIC,donor628@email.com,0459490380,2021-02-25,Email,N/A,N/A,N/A,75.3,48.5,0,0,Email,0
D00629,Abigail Thompson,Individual,Fremantle,WA,donor629@email.com,0461157834,2021-10-16,Online,26-35,Male,Government,38.6,10.9,0,0,Any,0
D00630,Aiden Davis,Individual,Mount Gambier,SA,donor630@email.com,0483608832,2021-04-20,Recurring,65+,Female,Technology,42.5,50.9,0,1,Any,0
D00631,Anderson Foundation,Foundation,Cairns,QLD,donor631@email.com,0481760022,2021-09-13,Social Media,N/A,N/A,N/A,63.5,62.3,0,1,Phone,0
D00632,Taylor Services,Corporate,Melbourne,VIC,donor632@email.com,0481443936,2020-08-09,Event,N/A,N/A,N/A,40.6,1.0,0,0,Email,0
